category_id,movies_id
0,60029178
0,60022265
0,60023618
0,80208635
0,80182621
0,70028197
0,80191081
0,81018565
0,80233085
0,70221571
0,80245121
0,70307570
0,70060017
0,80118280
0,80991404
0,81051688
0,80194610
0,60033300
0,60023856
0,60022254
0,80090672
0,70117582
0,80166318
0,80988262
0,70021654
0,80999067
0,70295415
0,80102579
0,80023667
0,60003540
0,70103762
0,60027689
0,80005501
0,70242900
0,80995081
0,81215439
0,80017272
0,81018860
0,81044813
0,60031264
0,80208104
0,80221640
0,80208176
0,80182597
0,80994162
0,81104634
0,80014637
0,80221560
0,80192244
0,70118155
0,80063617
0,80999069
0,80998967
0,70105369
0,81025946
0,80026431
0,70130483
0,80231156
0,60010488
0,81091957
0,70045274
0,80019930
0,81184705
0,70286028
0,296682
0,80192815
0,81135444
0,80135586
0,80241616
0,26009364
0,81179400
0,80195967
0,80131616
0,70305955
0,81048914
0,80095089
0,510854
0,80995079
0,70099615
0,70021648
0,81016361
0,81011096
0,70053456
0,80199682
0,70026432
0,60034568
0,80092781
0,80020131
0,70101345
0,70183165
0,80217130
0,70065096
0,81092780
0,81002412
0,70250369
0,80164864
0,81035837
0,80019931
0,60033788
0,70304298
0,80135563
0,70060010
0,80092857
0,80191357
0,70212504
0,70105599
0,80231468
0,80157797
0,80215046
0,81045499
0,70114484
0,70142918
0,80164465
0,81092777
0,80160987
0,70291094
0,80179288
0,80141781
0,70063591
0,80205442
0,81046962
0,80018296
0,81145628
0,60028294
0,80190984
0,80095193
0,80238204
0,80093104
0,516154
0,80156772
0,80161108
0,81091977
0,81029736
0,81021243
0,80062011
0,70058025
0,81092781
0,80201039
0,80230507
0,80995799
0,80182483
0,80097725
0,80187107
0,80218432
0,81146370
0,80112370
0,70077556
0,70043308
0,80065930
0,80177339
0,80235524
0,70287957
0,80190149
0,80005738
0,60011649
0,80016471
0,81132440
0,70100448
0,70125232
0,70132722
0,81035127
0,81092776
0,70297962
0,70242898
0,81020543
0,80046145
0,80134893
0,70209267
0,28631029
0,70021640
0,81019924
0,81141689
0,70292700
0,80107372
0,60036237
0,80191356
0,70099119
0,70139072
0,60026155
0,81214187
0,70020048
0,80192018
0,80020132
0,80158772
0,60020948
0,81016328
0,80190148
0,70291096
0,80232279
0,81035117
0,81006335
0,80182622
0,70125931
0,80195653
0,60022255
0,60022041
0,81026188
0,80236279
0,81162089
0,80028529
0,81211681
0,80119555
0,70084799
0,70301472
0,60010082
0,80161029
0,70109891
0,81092782
0,80112371
0,70302836
0,80135585
0,81093113
0,70143241
0,70235768
0,419733
0,81012857
0,81016327
0,80046144
0,60028097
0,70306702
0,81152930
0,60020916
0,60022058
0,81020544
0,81059388
0,80242926
0,80999063
0,80233925
0,80183187
0,70044595
0,81018563
0,80238080
0,523650
0,70185141
0,80182481
0,80118004
0,81209203
0,81214214
0,60020949
0,80173001
0,80993105
0,80020036
0,70124268
0,81033086
0,80220814
0,70105338
0,80027560
0,70011206
0,70039187
0,60004509
0,70253398
0,80182482
0,70056441
0,81214223
0,80057137
0,80141858
0,80004286
0,80195962
0,80196379
0,80200047
0,81046846
0,81047677
0,81092783
0,70100381
0,70286029
0,80020772
0,80222177
0,80141254
0,80223928
0,80221447
0,80105067
0,81221873
0,80117263
0,80182480
0,60003082
0,70202138
0,80208155
0,81029841
0,80988892
0,80160759
0,80028359
0,80221639
0,70236016
0,80189866
0,80995077
0,80995687
0,70142824
0,81141694
0,70002129
0,70267728
0,70121502
0,80232740
0,80169554
0,80158155
0,80057578
0,80221446
0,60035622
0,80185876
0,80191358
0,80141253
0,80217121
0,70302844
0,80012535
0,80125818
0,81018634
0,81108479
0,60033786
0,80073100
0,70253397
0,80996790
0,80241537
0,374651
0,80118841
0,70112731
0,80177834
0,70290567
0,81215438
0,80204923
0,70165189
0,70290905
0,80166319
0,70271592
0,80189954
0,60010487
0,80151644
0,70242899
0,80160347
0,80167699
0,70176656
0,81085364
0,80225034
0,81048910
0,60021788
0,81121171
0,70197459
0,81021976
0,80031038
0,80165221
0,81167490
0,81083786
0,81113468
0,80152627
0,60022502
0,81154987
0,80238351
0,60033787
0,80031800
0,81048916
0,60000921
0,60037606
0,80156925
0,80245601
0,60030245
0,70158421
0,80190146
0,80015280
0,70108985
0,80989043
0,80182596
0,81215437
0,60000409
0,81076055
0,81148811
0,70011207
0,80154176
0,18021979
0,70109429
0,60003155
0,70081015
0,60000901
0,70246439
0,81065331
0,81154982
0,70075775
0,80121841
0,80081337
0,80101096
0,80995078
1,1151188
1,81015317
1,18066997
1,484369
1,70058023
1,70044686
1,70020728
1,60001807
1,1008581
1,80157866
1,15815343
1,70069233
1,70000091
1,81168342
1,60033108
1,70266171
1,880640
1,11819434
1,60021299
1,699257
1,60004476
1,70270364
1,673843
1,896678
1,60036691
1,70128549
1,70304189
1,292118
1,60001377
1,70117312
1,70077076
1,70141644
1,80158482
1,60000545
1,60000861
1,70248183
1,81213898
1,60000393
1,70083108
1,70257860
1,20258084
1,20257617
1,70253596
1,352989
1,498716
1,709163
1,60026477
1,80057969
1,372195
1,70059191
1,347365
1,60037022
1,60034549
1,80031800
1,408911
2,80117240
2,81221913
2,81113926
2,81043190
2,70100084
2,80082242
2,70242938
2,80117079
2,70303424
2,80039069
2,70244163
2,1150871
2,81043135
2,60003155
2,70025303
2,81016592
2,80171291
2,81053958
2,80173150
2,80092884
2,80202086
2,80238293
2,80156408
2,81033201
2,80148210
