movies_id,persons_id
80182597,0
80182621,5
80182621,0
80057969,6
80060297,16
80046728,22
80046727,30
70304988,31
80057700,41
80045922,49
80203094,68
70241607,69
80988892,75
80239639,82
80159586,93
80152447,104
81154455,119
81113928,128
81052275,136
81132437,143
80058026,155
70303496,166
80162141,173
80162141,174
80095641,182
80159880,196
81016044,207
80158838,196
81016045,218
70142798,218
70142798,227
70142798,228
70142798,229
70142798,230
70062814,218
70062814,229
80158839,246
80147760,249
80177405,258
81160036,266
81173255,275
81078908,281
80201906,288
80052612,302
81054495,321
70212504,332
80187061,343
80081155,353
80081155,354
70233894,372
81011955,379
80128722,390
80182115,396
80104068,401
80119349,409
80019931,417
81053893,425
81053892,425
81002850,442
81004470,450
80157072,459
81002864,467
81016750,477
81002866,487
80992039,493
80992039,494
80126507,495
81132443,504
80231903,518
81171121,534
81171121,535
81171121,536
81171121,537
81171121,538
81171121,539
81171121,540
81171121,541
81171121,542
81171121,543
80060037,560
60003155,568
81177238,583
80215923,614
80173625,636
80173625,637
80005444,652
80005444,653
80166318,655
80166318,656
80208155,677
80198423,692
80162144,693
81074113,711
80992496,713
81176200,736
80208906,749
80097321,756
80097321,757
80106966,758
81080769,768
70267838,778
80211380,792
80196586,800
80059432,808
81172721,817
81172727,825
70153543,836
81172728,845
80102952,887
80102952,888
80243600,894
81020523,915
81122669,937
81000389,948
81132439,960
80150502,989
80119815,1003
80119815,1004
80203776,1019
80143797,1022
80017275,1057
70118953,1070
70118953,1071
80190449,1075
80190449,1076
80163156,1091
80149143,1115
80987075,1132
80192815,1142
80066798,778
81147293,1161
80190588,1181
70124316,1183
70229037,1188
80037280,1195
80058248,1206
70117312,1224
80092885,1238
80108371,711
70129452,1245
80045805,1246
80045805,1247
81030342,1254
70054723,1258
81016326,1273
80227777,1278
81016317,1293
81016337,1300
81018234,1310
81018241,1315
81018235,1316
81018236,1322
81018237,1329
81018238,1339
81016339,1346
81016339,1347
80067522,1354
80192149,1365
80142637,1374
80168230,1389
80202129,1390
80088910,1400
80088910,1401
70290909,1404
80033772,1406
80033772,1407
80238013,1408
81089941,1411
81000011,1419
80217733,1427
80999985,1441
80999985,1442
80999985,1443
80999985,1444
80188120,1462
80164779,1469
81183572,1502
81037283,1512
80244973,1524
81132438,1536
81161230,1566
81002412,1575
81023636,1586
81023636,1587
80198046,1618
80106307,1620
70267728,1631
81001000,1650
80158670,1655
80244019,1659
80162143,1668
81060174,1674
70130445,1676
81001494,1686
81001494,1687
80991570,1694
80184129,1703
60000861,1713
1151375,1724
81137484,1733
81031008,1743
70099119,1745
70039185,1752
81165769,1761
70056433,1775
70113003,1782
60031232,1793
80032842,1761
81137482,1733
81137482,1810
70043308,1820
70043308,1821
81165771,1761
70044697,1839
70105368,1847
81141689,1857
1008581,1866
70058023,1878
81165786,1761
81165770,1761
70043303,1897
70136074,1903
1153194,1912
70112730,1921
81158575,1947
81065786,1954
70087541,1958
81004113,1967
81003984,1973
70024088,1980
81005312,1990
80082969,1997
80994130,2004
81019924,2013
81013710,2027
70077076,459
81014988,2041
80102950,218
70055221,2063
81005314,2076
80242828,2086
81004223,2090
80198730,2100
80999945,2111
81016043,2112
17672040,2123
20254278,2154
70276596,2168
80063025,2168
80184974,2195
80184974,2196
80156941,2154
70052492,2235
70036200,2235
70018513,2235
80158480,2251
80139506,2261
80205314,1340
80158545,2202
80156939,2288
80152537,2295
80045673,2295
70275937,2295
70101321,2319
70108386,2324
70074559,2330
80162197,2336
80184055,2343
80184055,2344
80160358,2345
80160358,2346
60034929,2348
80157134,2354
80157134,2288
80141891,2356
80141891,2357
80183897,2365
80177834,2373
80121855,2380
80190990,2357
80190990,2356
80173269,2392
80106140,1659
80114155,2414
80118841,2432
80102579,2433
80097438,2448
80103426,2483
70278877,2494
80244311,2495
81183570,2503
81016328,2512
80239503,2518
80031666,2525
80995737,2526
81020161,2541
80025390,2544
80196216,2554
80091741,677
80115464,2556
80041653,2562
81016338,2578
81002592,2586
81017724,2590
80170301,2606
80189623,2614
81177367,2629
81016318,1300
80168222,2668
81158574,2681
80237905,2692
81132440,2697
81021243,2710
81021243,2711
81004460,2712
81016330,1300
70105130,2722
81084225,2744
80203920,2746
80084834,2775
80208273,2793
80145699,2794
70266684,2798
81166978,2807
81177371,2815
80207446,2845
80207446,2846
80207447,2854
81016324,1300
80192097,2871
70185045,2879
70002129,2885
80191963,2889
80218099,2898
80199767,2908
80191665,2918
80161921,2920
81148672,2928
80092857,2937
80244679,2946
81110394,2947
80067754,2949
80189954,2937
80094648,2963
80066073,2966
80123740,2967
80123741,2974
80123742,2984
81000863,2997
81000863,2998
70082255,3007
80117454,3034
80095197,3036
80045783,3041
81123469,3053
80211622,3061
80990221,3070
80202352,3081
80235268,3091
80241061,3099
81025088,3100
80173479,3107
80081372,3114
81136744,3124
81132444,3137
80182014,3145
81078456,3163
81121023,3174
81018455,3178
81110383,3185
81018183,3217
80219941,3219
80219941,3220
80064515,3221
80062011,3229
80062011,3230
80062011,3231
80062011,3232
80062011,3233
80062011,3234
80062011,3235
80062011,3236
80062011,3237
80062011,3238
80062011,1820
80062011,3239
80062011,3240
81034741,3262
81075461,3272
81075461,3273
80205231,3279
80158919,3294
70299286,3306
70299286,3307
80017261,3313
80186796,3322
81071891,3324
80224536,3331
80017286,3340
70295169,3353
80039050,3358
81027753,3368
15815343,3370
70295176,3379
80131240,3397
80131240,3398
70170182,3400
70049619,3418
80211135,3428
70109884,3436
70176967,3443
70198040,3452
80038442,3459
80091310,3464
70114484,1300
80117443,3486
80010717,3488
81020005,3489
81020005,3490
81035748,3495
80135164,3178
80118101,3506
80118101,3507
80113669,3508
81191195,3528
80235999,3534
80235999,3535
80215419,3486
70118860,3548
80017240,3534
70118859,3548
80236778,3550
80236778,3551
80236470,3554
80236470,3555
699257,3546
80236574,3551
80988048,3560
80039069,3561
80046779,3567
80995687,3569
60001650,3570
81172848,3579
81034575,3587
80226951,3610
80232279,3621
80239666,3627
81011973,3639
80144152,3648
81035749,3495
81035750,3495
81035751,3495
80148162,3657
80171705,3677
81172729,3687
81172895,3693
80206910,3702
81132442,2545
81172723,3736
81172909,3758
80214706,3767
80994011,3768
81172902,3736
81047903,3784
80208635,3798
70125931,3799
70235768,3821
80177406,758
81081656,3840
81187847,3841
81053240,3842
80043834,3702
81157840,3857
80244900,3870
80211134,3872
70271601,3882
80204433,3914
80089199,3920
80043049,3921
80070182,3929
80070182,3930
80176234,3947
80992769,3961
81191228,3970
81025935,3984
81020508,166
80201824,3991
80203782,4000
80201829,4007
80126016,4015
80202089,4020
80203789,4031
80193423,4041
80202376,4047
80028360,4048
80203783,4053
80142617,4060
80201823,4067
80115858,4082
80158547,4090
80202090,4099
80203790,4107
80158391,4112
80211540,4120
80123743,4121
70258995,2168
70208801,4131
70260383,4131
80123744,4141
70105699,4163
70124999,4163
80990869,4188
80187205,4190
80097472,4196
80075009,4198
70280748,2556
81034012,4207
81034012,4208
81019031,4221
80155812,4234
80183198,4240
80158844,4242
80174434,3340
80075476,4254
80158148,4271
80216844,4290
80187722,4291
81021082,442
80191047,4300
80240972,4319
80103282,4326
80134526,4332
80127559,1847
80005501,4338
81132441,4341
81078819,4346
80223997,31
81191666,4352
81133621,4361
80147323,4403
81171871,4417
80210932,4425
81015317,4436
81015317,4437
80205204,3567
70235731,4442
80003481,4443
81168338,4444
81103033,4454
60002273,4464
70297962,4474
269880,4484
60029167,4484
60020891,4498
347365,4507
81166946,4524
70023961,4548
60027716,711
70287957,4564
81168345,4578
60020892,4586
81164752,4594
60028097,4605
70065112,4616
70083108,4631
70083108,4632
70184050,4643
81168347,4654
81003460,4664
81168348,4654
70095135,4687
81191254,4695
81168340,4696
60023597,3570
81002876,4708
70058017,4710
70058024,3768
70011211,3768
70271599,4722
70020699,4728
60003540,4737
60003540,4738
1181550,4750
70170051,4767
70021630,4779
70021630,4780
81043753,4792
60001761,4802
70041963,4807
70058025,4813
70058025,3229
70128696,4822
70077542,4833
81168342,4840
81165772,1761
510854,4853
60000921,4853
81168343,4885
70044605,4894
18021979,4898
18021979,4899
81168344,4905
70020750,3340
70105596,4922
60037022,4932
60034571,1839
70053456,4956
80173150,4965
81168341,4971
81168346,4885
80190101,5007
81024712,5010
70112494,1619
80215922,5020
70113305,5035
80032472,5041
81024703,5051
70181653,5058
80048200,5067
81025884,5068
80032474,5073
70127589,5086
80104130,5098
80032473,4082
70090035,5102
81024713,5109
70117268,5115
70211216,5124
70211216,5125
70140322,5127
81024696,4082
70303428,5132
81012407,5138
70125882,5139
70101039,5147
70123121,5151
80152182,5154
70229042,5158
70042756,5166
81024704,5073
80221498,5178
70229555,5181
70213515,5183
81018563,5190
81018565,5190
81024729,5204
80032477,5214
81024711,5217
81025908,5224
70303495,5228
70303429,5230
80084768,5236
80084767,5246
81024701,5250
80995576,5258
70292836,5259
70139542,5268
70039175,5276
70225597,5007
70123119,5287
70150437,5295
80084667,5301
70099118,5306
81024705,5318
80198771,5324
80062096,5335
80062096,5336
70291096,5343
70130483,5347
80031038,5352
80112370,5364
80112370,5365
70165189,417
70197459,5378
80095193,1142
70246439,5378
80158155,1142
80158155,5378
80158155,5365
80063617,5406
80202503,5415
80147971,5424
70257412,3340
80172937,3217
