country_id,movies_id
0,80156857
1,80156857
0,80057969
1,80057969
0,80131236
1,80131236
0,80044536
1,80044536
0,80156763
1,80156763
0,80198508
1,80198508
0,80123741
1,80123741
0,81079046
1,81079046
0,80063290
1,80063290
0,81004099
1,81004099
0,81016857
1,81016857
0,81005312
1,81005312
0,80011026
1,80011026
0,80171678
1,80171678
0,80046728
1,80046728
0,80987464
1,80987464
0,80018296
1,80018296
0,80999643
1,80999643
0,80156856
1,80156856
0,70302836
1,70302836
0,81188871
1,81188871
0,80992365
1,80992365
0,80046144
1,80046144
0,80156683
1,80156683
2,80175945
2,70242311
2,80106440
2,70091304
2,70266023
2,70265211
2,60027945
2,80134431
2,80193491
2,81214114
2,81061407
2,80176715
2,80134893
2,80133552
2,80990532
2,70023451
2,80216124
2,80161628
2,80220758
2,70044693
2,60003155
2,60000577
2,70229037
2,80097431
2,80194813
2,80158515
2,80185166
2,70267834
2,80191051
2,70174733
2,80161728
2,81145273
2,80106754
2,80172468
2,80998967
2,80242446
2,70210484
2,80211991
2,80988048
2,70206819
2,80240027
2,81164603
2,80025601
2,80057565
2,80077402
2,80091741
2,80179556
2,80115338
2,80144983
2,80198046
2,80024103
2,80026032
2,80117557
2,80092404
2,81024332
2,80224060
2,70305883
2,80184379
2,70301469
2,80119125
2,80218104
2,80135585
2,81214214
2,81103092
2,70045274
2,80001101
2,70118779
2,80198056
2,880640
2,80108996
2,70299867
2,70158331
2,80201933
2,80048200
2,60031404
2,352989
2,80988815
2,80214777
2,80104116
2,80027042
2,70199239
2,80082242
2,60004083
2,80049870
2,80167491
2,80117452
2,70241791
2,81024500
2,80037478
2,81002747
2,80117694
2,80994011
2,80199689
2,81183570
2,80097725
2,80171022
2,80005501
2,80125979
2,70285581
2,80011539
2,70044256
2,81034741
2,80002311
2,70286355
2,80020036
2,80236099
2,846071
2,80179900
2,70020750
2,80177406
2,80089198
2,81020868
2,70279656
2,81025946
2,70028197
2,80216664
2,70058019
2,80160037
2,80024113
2,81094271
2,80065492
2,70176656
2,81002876
2,70143860
2,80191081
2,80117443
2,70165189
2,80188580
2,81020839
2,60021788
2,81152923
2,70213083
2,80225949
2,80195807
2,510854
2,81026478
2,80126646
2,70083809
2,60022058
2,80236356
2,70060005
2,70269479
2,81091977
2,80238020
2,60020891
2,80192018
2,80209895
2,80224606
2,80010655
2,80178726
2,81032375
2,80174144
2,60024161
2,81009829
2,81076042
2,80239337
2,70297962
2,80995737
2,70281526
2,80081754
2,81145277
2,80160346
2,81024100
2,80013283
2,80081337
2,80063265
2,70121008
2,70112732
2,80179371
2,80241410
2,70196145
2,81121173
2,80113144
2,81001887
2,81077539
2,80088507
2,80230402
2,70213085
2,81048914
2,80044950
2,80106793
2,80147529
2,80245353
2,80191109
2,80214478
2,80095649
2,80997719
2,70051671
2,80200549
2,80176878
2,70140358
2,70136152
2,80152434
2,80167628
2,80078197
2,80113641
2,18066997
2,60000393
2,80065220
2,81104634
2,80192577
2,70074100
2,70293622
2,80174897
2,80133554
2,70281312
2,70103759
2,80046779
2,80214582
2,542137
2,80011846
2,70084799
2,70262783
2,70302007
2,80116839
2,60021590
2,81135868
2,80175934
2,60024935
2,80189216
2,80125671
2,80132410
2,80169469
2,80189827
2,70087541
2,1065372
2,70157266
2,80044908
2,80117736
2,81092331
2,70206825
2,80105342
2,81078908
2,80134695
2,80088910
2,80095435
2,80142390
2,70198116
2,80241855
2,80213322
2,80013282
2,70181716
2,81088282
2,80124722
2,81088318
2,80186850
2,80190510
2,80220013
2,80198018
2,80171452
2,80221308
2,81016247
2,80169348
2,81136744
2,80145699
2,81103093
2,80032636
2,80104420
2,60001396
2,80990829
2,70242900
2,80174364
2,80182014
2,80190449
2,80104103
2,81002933
2,80191047
2,80196586
2,80216779
2,70082264
2,80987075
2,81218074
2,80161851
2,506464
2,81083891
2,70129374
2,60020948
2,70026432
2,81094391
2,607931
2,80023667
2,70253171
2,80049873
2,1151721
2,80134721
2,80174177
2,70295176
2,80221447
2,80145533
2,70173046
2,81003736
2,80192734
2,80133553
2,80184868
2,80117240
2,80049979
2,81013657
2,80190588
2,80053140
2,80208910
2,70206818
2,80242926
2,80144803
2,81121175
2,60020745
2,80174429
2,70105338
2,80058248
2,80168079
2,80190840
2,80106979
2,80064521
2,80018869
2,80167459
2,81028556
2,70077557
2,80190844
2,80237311
2,81053958
2,80201866
2,80025744
2,70301023
2,80142058
2,81121178
2,80192842
2,70001777
2,70243445
2,80192834
2,81034599
2,80039394
2,70066433
2,80032178
2,80079470
2,70053456
2,80242378
2,80103372
2,70124965
2,80059446
2,81152930
2,80219127
2,80103383
2,70155618
2,81022003
2,80128689
2,80176771
2,80185876
2,70157152
2,60028294
2,80127604
2,80004286
2,80197989
2,60027695
2,80085438
2,80173002
2,70202141
2,21028726
2,60001650
2,80179394
2,81173792
2,80144145
2,80121349
2,80217475
2,80211576
2,70295415
2,80021840
2,70242063
2,80244853
2,60033787
2,80151370
2,80002667
2,70117289
2,80999781
2,80172000
2,81121179
2,81146370
2,80115464
2,60027726
2,80198730
2,80173925
2,80210294
2,70003046
2,80106504
2,60002403
2,80117747
2,81019341
2,60027716
2,80216820
2,80139506
2,70117297
2,80213654
2,70202579
2,70142827
2,81121184
2,80201750
2,60022502
2,80161497
2,60000440
2,70143811
2,70109657
2,60031284
2,684847
2,80179782
2,80119193
2,81006334
2,80989337
2,80104198
2,80095532
2,81183624
2,80057918
2,70122722
2,81036199
2,80108616
2,80049714
2,70143831
2,1178866
2,80038335
2,80209751
2,80156212
2,80039517
2,80225034
2,81034771
2,80168234
2,80216543
2,70290909
2,60023597
2,81140577
2,70167072
2,80197462
2,60000409
2,80239642
2,17672040
2,80209153
2,70184207
2,70129457
2,60023618
2,80198137
2,80244627
2,80209609
2,80107087
2,673843
2,70113003
2,60002003
2,80238204
2,81019888
2,81025800
2,80152625
2,70044689
2,80066798
2,80151384
2,80082862
2,70304988
2,80116921
2,80175290
2,80118916
2,81065902
2,80238080
2,80177416
2,70202577
2,80087891
2,70136120
2,80104318
2,80134966
2,80174220
2,80236421
2,80245117
2,80220813
2,60029363
2,80227677
2,80079265
2,80039069
2,80115101
2,80201542
2,70120182
2,70153404
2,70290568
2,80148180
2,70241757
2,80191049
2,60020892
2,60010069
2,80113304
2,81028570
2,70058022
2,80991400
2,80146759
2,81023636
2,80000063
2,81092045
2,80134780
2,80024232
2,81064394
2,81060049
2,80119192
2,1181488
2,70222860
2,81122669
2,80117628
2,80174959
2,80223123
2,80193614
2,80036412
2,80092926
2,80077923
2,81011682
