movies_id,persons_id
80182597,1
80182597,2
80182597,3
80182481,4
80182481,3
80182621,3
80182621,4
80057969,7
80057969,8
80057969,9
80057969,10
80057969,11
80057969,12
80057969,13
80057969,14
80057969,6
80057969,15
80060297,16
80060297,17
80060297,18
80060297,19
80060297,20
80060297,21
80046728,23
80046728,24
80046728,25
80046728,26
80046728,27
80046728,28
80046728,29
70304988,32
70304988,33
70304988,34
70304988,35
70304988,36
70304988,37
70304988,38
70304988,39
70304988,40
80057700,42
80057700,43
80057700,44
80057700,45
80057700,46
80057700,47
80057700,48
80045922,50
80045922,51
80045922,52
80045922,53
80045922,54
80045922,55
80045922,56
80045922,57
80045922,58
80244601,59
80244601,60
80244601,61
80244601,62
80244601,63
80244601,64
80244601,65
80244601,66
80244601,67
70241607,70
70241607,71
70241607,72
70241607,73
70241607,74
80988892,76
80988892,77
80988892,78
80988892,79
80988892,80
80988892,81
80239639,83
80239639,84
80239639,85
80239639,86
80239639,87
80239639,88
80239639,89
80239639,90
80239639,91
80239639,92
80159586,94
80159586,95
80159586,96
80159586,97
80159586,98
80159586,99
80159586,100
80159586,101
80159586,102
80159586,103
80152447,105
80152447,106
80152447,107
80152447,108
80152447,109
80152447,110
80152447,111
80152447,112
80221550,113
80221550,114
80221550,115
80221550,116
80221550,117
80221550,118
81154455,120
81154455,121
81154455,122
81154455,123
81154455,124
81154455,125
81154455,126
81154455,127
81113928,129
81113928,130
81113928,131
81113928,132
81113928,133
81113928,134
81113928,135
81052275,137
81052275,138
81052275,139
81052275,140
81052275,141
81052275,142
81132437,144
81132437,145
81132437,146
81132437,147
81132437,148
81132437,149
81132437,150
80178151,151
80178151,152
80178151,153
80178151,154
80058026,156
80058026,157
80058026,158
80058026,159
80058026,160
80058026,161
80058026,162
80058026,163
80058026,164
80058026,165
70303496,167
70303496,168
70303496,169
70303496,170
70303496,171
70303496,172
80162141,174
80162141,175
80162141,176
80162141,177
80162141,178
80162141,179
80162141,180
80162141,181
80095641,183
80095641,184
80095641,185
80095641,186
80095641,187
80095641,188
80095641,189
80095641,190
80095641,191
80095641,192
81176188,193
81176188,194
81176188,195
80159880,197
80159880,198
80159880,199
80159880,200
80159880,201
80159880,202
80159880,203
80159880,204
80159880,205
80159880,206
81016044,208
81016044,209
81016044,210
81016044,211
81016044,212
81016044,213
81016044,214
80158838,204
80158838,215
80158838,203
80158838,216
80158838,217
81016045,206
81016045,219
81016045,220
81016045,221
81016045,222
81016045,223
81016045,224
81016045,225
81016045,226
70142798,231
70142798,61
70142798,64
70142798,232
70142798,233
70142798,234
70142798,235
70142798,211
70142798,236
70142798,237
70062814,238
70062814,239
70062814,240
70062814,241
70062814,242
70062814,243
70062814,244
70062814,245
80158839,200
80158839,247
80158839,248
80158839,237
80147760,250
80147760,251
80147760,252
80147760,253
80147760,254
80147760,255
80147760,256
80147760,257
80177405,259
80113482,260
80113482,261
80113482,262
80113482,263
80113482,264
80113482,265
81160036,267
81160036,268
81160036,269
81160036,270
81160036,271
81160036,272
81160036,273
81160036,274
81173255,276
81173255,277
81173255,278
81173255,279
81173255,280
81078908,282
81078908,283
81078908,284
81155784,285
81155784,286
81155784,287
80201906,289
80201906,290
80201906,291
80201906,292
80201906,293
80201906,294
80201906,295
80201906,296
80201906,297
80201906,298
80201906,299
80201906,300
80201906,301
80052612,303
80052612,304
80052612,305
80052612,306
80052612,307
80052612,308
80052612,309
80052612,310
80052612,311
80052612,312
80052612,313
80113641,314
80113641,315
80113641,316
80113641,317
80113641,318
80113641,319
80113641,320
81054495,322
80996949,323
80996949,324
80996949,325
80239337,326
80239337,327
80239337,328
80239337,329
80239337,330
80239337,331
70212504,164
70212504,333
70212504,334
70212504,77
70212504,335
70212504,336
70212504,337
70212504,338
70212504,339
80116921,340
80116921,341
80116921,342
80187061,344
80187061,345
80187061,346
80187061,347
80187061,348
80187061,349
80187061,350
80187061,351
80187061,352
80184358,355
80184358,356
80184358,357
80184358,358
80184358,359
80184358,360
80184358,361
80184358,362
80184358,363
80184358,364
80198585,365
80198585,366
80198585,367
80198585,368
80198585,369
80198585,370
80198585,371
70233894,372
70233894,373
70233894,374
70233894,375
70233894,376
70233894,377
70233894,378
81011955,380
81011955,381
81011955,382
81011955,383
81011955,384
81011955,385
81011955,386
81011955,387
81011955,388
81011955,389
80128722,391
80128722,392
80128722,393
80128722,394
80128722,395
80163293,397
80163293,398
80163293,399
80163293,400
80104068,402
80104068,403
80104068,404
80104068,405
80104068,406
80104068,407
80104068,408
80199032,410
80180449,411
80180449,412
80180449,413
80180449,414
80180449,415
80180449,416
80019931,418
80019931,419
80019931,420
80019931,421
80019931,422
80019931,423
80019931,424
80200087,426
80200087,427
80200087,428
80200087,429
80200087,430
80200087,431
80200087,432
81053892,433
81053892,434
81053892,435
81053892,436
81053892,437
81053892,438
81053892,439
81053892,440
81053892,441
81002850,443
81002850,444
81002850,445
